slug,locale,path,family_uuid,directory_family_slug,round_1_api_http_status,round_1_page_http_status,round_1_redirect_count,round_1_checks_pass,round_2_api_http_status,round_2_page_http_status,round_2_redirect_count,round_2_checks_pass
operations-research-analysts,en,/en/career/jobs/operations-research-analysts,,,200,200,0,false,200,200,0,false
operations-research-analysts,zh-CN,/zh/career/jobs/operations-research-analysts,,,200,200,0,false,200,200,0,false
personal-financial-advisors,en,/en/career/jobs/personal-financial-advisors,,,200,200,0,false,200,200,0,false
personal-financial-advisors,zh-CN,/zh/career/jobs/personal-financial-advisors,,,200,200,0,false,200,200,0,false
public-relations-specialists,en,/en/career/jobs/public-relations-specialists,,,200,200,0,false,200,200,0,false
public-relations-specialists,zh-CN,/zh/career/jobs/public-relations-specialists,,,200,200,0,false,200,200,0,false
sales-engineers,en,/en/career/jobs/sales-engineers,,,200,200,0,false,200,200,0,false
sales-engineers,zh-CN,/zh/career/jobs/sales-engineers,,,200,200,0,false,200,200,0,false
technical-writers,en,/en/career/jobs/technical-writers,,,200,200,0,false,200,200,0,false
technical-writers,zh-CN,/zh/career/jobs/technical-writers,,,200,200,0,false,200,200,0,false
training-and-development-managers,en,/en/career/jobs/training-and-development-managers,,,200,200,0,false,200,200,0,false
training-and-development-managers,zh-CN,/zh/career/jobs/training-and-development-managers,,,200,200,0,false,200,200,0,false
training-and-development-specialists,en,/en/career/jobs/training-and-development-specialists,,,200,200,0,false,200,200,0,false
training-and-development-specialists,zh-CN,/zh/career/jobs/training-and-development-specialists,,,200,200,0,false,200,200,0,false
web-developers,en,/en/career/jobs/web-developers,f639c622-1a90-4b6d-a67c-081f6de2f48f,,200,200,0,true,200,200,0,true
web-developers,zh-CN,/zh/career/jobs/web-developers,f639c622-1a90-4b6d-a67c-081f6de2f48f,,200,200,0,true,200,200,0,true
