asset_key,trait,facet_key,facet_role,module_key,section_key,slot_key,module_key_valid,section_key_valid,slot_key_valid,facet_support_present,render_surface_valid,status
big5_facet_v0_1_c6_facet_high_reframe,C,C6,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.c6.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_c6_facet_low_reframe,C,C6,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.c6.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e1_facet_glossary,E,E1,facet_glossary,module_05_facet_reframe,facet_details,facet_details.e1.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_e1_facet_high_reframe,E,E1,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.e1.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e1_facet_low_reframe,E,E1,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.e1.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e2_facet_glossary,E,E2,facet_glossary,module_05_facet_reframe,facet_details,facet_details.e2.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_e2_facet_high_reframe,E,E2,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.e2.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e2_facet_low_reframe,E,E2,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.e2.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e3_facet_glossary,E,E3,facet_glossary,module_05_facet_reframe,facet_details,facet_details.e3.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_e3_facet_high_reframe,E,E3,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.e3.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e3_facet_low_reframe,E,E3,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.e3.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e4_facet_glossary,E,E4,facet_glossary,module_05_facet_reframe,facet_details,facet_details.e4.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_e4_facet_high_reframe,E,E4,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.e4.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e4_facet_low_reframe,E,E4,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.e4.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e5_facet_glossary,E,E5,facet_glossary,module_05_facet_reframe,facet_details,facet_details.e5.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_e5_facet_high_reframe,E,E5,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.e5.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e5_facet_low_reframe,E,E5,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.e5.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e6_facet_glossary,E,E6,facet_glossary,module_05_facet_reframe,facet_details,facet_details.e6.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_e6_facet_high_reframe,E,E6,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.e6.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_e6_facet_low_reframe,E,E6,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.e6.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a1_facet_glossary,A,A1,facet_glossary,module_05_facet_reframe,facet_details,facet_details.a1.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_a1_facet_high_reframe,A,A1,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.a1.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a1_facet_low_reframe,A,A1,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.a1.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a2_facet_glossary,A,A2,facet_glossary,module_05_facet_reframe,facet_details,facet_details.a2.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_a2_facet_high_reframe,A,A2,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.a2.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a2_facet_low_reframe,A,A2,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.a2.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a3_facet_glossary,A,A3,facet_glossary,module_05_facet_reframe,facet_details,facet_details.a3.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_a3_facet_high_reframe,A,A3,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.a3.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a3_facet_low_reframe,A,A3,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.a3.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a4_facet_glossary,A,A4,facet_glossary,module_05_facet_reframe,facet_details,facet_details.a4.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_a4_facet_high_reframe,A,A4,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.a4.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a4_facet_low_reframe,A,A4,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.a4.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a5_facet_glossary,A,A5,facet_glossary,module_05_facet_reframe,facet_details,facet_details.a5.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_a5_facet_high_reframe,A,A5,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.a5.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a5_facet_low_reframe,A,A5,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.a5.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a6_facet_glossary,A,A6,facet_glossary,module_05_facet_reframe,facet_details,facet_details.a6.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_a6_facet_high_reframe,A,A6,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.a6.high_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_a6_facet_low_reframe,A,A6,facet_low_reframe,module_05_facet_reframe,facet_details,facet_details.a6.low_reframe,True,True,True,True,True,PASS
big5_facet_v0_1_n1_facet_glossary,N,N1,facet_glossary,module_05_facet_reframe,facet_details,facet_details.n1.glossary,True,True,True,True,True,PASS
big5_facet_v0_1_n1_facet_high_reframe,N,N1,facet_high_reframe,module_05_facet_reframe,facet_details,facet_details.n1.high_reframe,True,True,True,True,True,PASS
