profile_family,profile_label_zh,canonical_combination_key,axis_zh,row_count,share_of_3125
complex_explorer_low_structure,复杂理解型探索者,O5_C2_E3_A3_N3,高开放 × 低尽责,501,0.1603
connective_coordinator,连接驱动协调者,O3_C3_E5_A5_N1,高外向 × 高宜人 × 低情绪,368,0.1178
orderly_supporter,秩序维护型支持者,O1_C5_E3_A5_N2,低开放 × 高尽责 × 高宜人,298,0.0954
overloaded_internalizer,高负荷内耗型,O3_C2_E2_A3_N5,高情绪 × 低尽责 × 低外向,359,0.1149
quiet_deep_worker,稳态深工者,O3_C5_E2_A3_N1,低外向 × 高尽责 × 低情绪,413,0.1322
sensitive_independent_thinker,敏锐的独立思考者,O3_C2_E2_A3_N4,高敏感 × 中高开放 × 克制进入,494,0.1581
sharp_exploratory_driver,锋利探索推进者,O5_C3_E5_A1_N3,高开放 × 低宜人 × 高外向,332,0.1062
vigilant_perfectionist,戒备型完美主义者,O3_C5_E3_A3_N5,高尽责 × 高情绪,360,0.1152
