section_key,source_modules,source_doc_refs,block_count,notes
hero_summary,module_01_hero|module_02_quick_understanding,V2.0 Module 1 首屏快读卡|V2.0 Module 2 三分钟理解版|两万字稿 第 1 节 结果摘要,6,
domains_overview,module_02_quick_understanding|module_03_trait_deep_dive,V2.0 Module 1 五维快照|V2.0 Module 3 五维分数深解|两万字稿 第 2 节 维度总览与阅读说明,7,
domain_deep_dive,module_03_trait_deep_dive,V2.0 Module 3 五维分数深解|两万字稿 五维深解相关段落,6,
facet_details,module_05_facet_reframe,V2.0 Module 5 Facet 反直觉发现|两万字稿 facet 焦点与数据核心层,35,
core_portrait,module_02_quick_understanding|module_04_coupling,V2.0 Module 2 三分钟理解版|V2.0 Module 4 核心动力耦合|两万字稿 性格指纹图谱与主导冲突,5,
norms_comparison,module_10_method_privacy,V2.0 Module 10 方法、边界与隐私说明|两万字稿 第 2 节 如何阅读这份报告|两万字稿 相对参照与分数解释内容,5,module_09 deferred
action_plan,module_06_application_matrix|module_07_collaboration_manual,V2.0 Module 6 现实应用矩阵|V2.0 Module 7 协作说明书|两万字稿 行动建议与 30/60/90 天路径,9,
methodology_and_access,module_00_trust_bar|module_10_method_privacy,V2.0 Module 0 顶部信任条|V2.0 Module 10 方法、边界与隐私说明|两万字稿 第 8 节 方法与边界说明,6,
