asset_key,profile_key,section_key,module_keys,slot_key,section_route_key,must_include_asset_count,must_suppress_asset_count,status,issues
big5_canonical_profile_sharp_exploratory_driver_hero_summary_v0_1,sharp_exploratory_driver,hero_summary,module_01_hero|module_02_quick_understanding,canonical_profile_entry.sharp_exploratory_driver,sharp_exploratory_driver.hero_summary,11,10,PASS,
big5_canonical_profile_sharp_exploratory_driver_domains_overview_v0_1,sharp_exploratory_driver,domains_overview,module_02_quick_understanding|module_03_trait_deep_dive,canonical_profile_domain_route.sharp_exploratory_driver,sharp_exploratory_driver.domains_overview,8,10,PASS,
big5_canonical_profile_sharp_exploratory_driver_domain_deep_dive_v0_1,sharp_exploratory_driver,domain_deep_dive,module_03_trait_deep_dive,canonical_profile_trait_route.sharp_exploratory_driver,sharp_exploratory_driver.domain_deep_dive,8,10,PASS,
big5_canonical_profile_sharp_exploratory_driver_facet_details_v0_1,sharp_exploratory_driver,facet_details,module_05_facet_reframe,canonical_profile_facet_route.sharp_exploratory_driver,sharp_exploratory_driver.facet_details,7,12,PASS,
big5_canonical_profile_sharp_exploratory_driver_core_portrait_v0_1,sharp_exploratory_driver,core_portrait,module_04_coupling|module_02_quick_understanding,canonical_profile_coupling_route.sharp_exploratory_driver,sharp_exploratory_driver.core_portrait,10,10,PASS,
big5_canonical_profile_sharp_exploratory_driver_norms_comparison_v0_1,sharp_exploratory_driver,norms_comparison,module_10_method_privacy,canonical_profile_norms_route.sharp_exploratory_driver,sharp_exploratory_driver.norms_comparison,8,12,PASS,
big5_canonical_profile_sharp_exploratory_driver_action_plan_v0_1,sharp_exploratory_driver,action_plan,module_06_application_matrix|module_07_collaboration_manual,canonical_profile_action_route.sharp_exploratory_driver,sharp_exploratory_driver.action_plan,7,11,PASS,
big5_canonical_profile_sharp_exploratory_driver_methodology_and_access_v0_1,sharp_exploratory_driver,methodology_and_access,module_00_trust_bar|module_10_method_privacy,canonical_profile_method_route.sharp_exploratory_driver,sharp_exploratory_driver.methodology_and_access,6,10,PASS,
big5_canonical_profile_orderly_supporter_hero_summary_v0_1,orderly_supporter,hero_summary,module_01_hero|module_02_quick_understanding,canonical_profile_entry.orderly_supporter,orderly_supporter.hero_summary,10,10,PASS,
big5_canonical_profile_orderly_supporter_domains_overview_v0_1,orderly_supporter,domains_overview,module_02_quick_understanding|module_03_trait_deep_dive,canonical_profile_domain_route.orderly_supporter,orderly_supporter.domains_overview,8,10,PASS,
big5_canonical_profile_orderly_supporter_domain_deep_dive_v0_1,orderly_supporter,domain_deep_dive,module_03_trait_deep_dive,canonical_profile_trait_route.orderly_supporter,orderly_supporter.domain_deep_dive,8,10,PASS,
big5_canonical_profile_orderly_supporter_facet_details_v0_1,orderly_supporter,facet_details,module_05_facet_reframe,canonical_profile_facet_route.orderly_supporter,orderly_supporter.facet_details,7,12,PASS,
big5_canonical_profile_orderly_supporter_core_portrait_v0_1,orderly_supporter,core_portrait,module_04_coupling|module_02_quick_understanding,canonical_profile_coupling_route.orderly_supporter,orderly_supporter.core_portrait,9,10,PASS,
big5_canonical_profile_orderly_supporter_norms_comparison_v0_1,orderly_supporter,norms_comparison,module_10_method_privacy,canonical_profile_norms_route.orderly_supporter,orderly_supporter.norms_comparison,8,12,PASS,
big5_canonical_profile_orderly_supporter_action_plan_v0_1,orderly_supporter,action_plan,module_06_application_matrix|module_07_collaboration_manual,canonical_profile_action_route.orderly_supporter,orderly_supporter.action_plan,7,11,PASS,
big5_canonical_profile_orderly_supporter_methodology_and_access_v0_1,orderly_supporter,methodology_and_access,module_00_trust_bar|module_10_method_privacy,canonical_profile_method_route.orderly_supporter,orderly_supporter.methodology_and_access,6,10,PASS,
big5_canonical_profile_overloaded_internalizer_hero_summary_v0_1,overloaded_internalizer,hero_summary,module_01_hero|module_02_quick_understanding,canonical_profile_entry.overloaded_internalizer,overloaded_internalizer.hero_summary,11,10,PASS,
big5_canonical_profile_overloaded_internalizer_domains_overview_v0_1,overloaded_internalizer,domains_overview,module_02_quick_understanding|module_03_trait_deep_dive,canonical_profile_domain_route.overloaded_internalizer,overloaded_internalizer.domains_overview,8,10,PASS,
big5_canonical_profile_overloaded_internalizer_domain_deep_dive_v0_1,overloaded_internalizer,domain_deep_dive,module_03_trait_deep_dive,canonical_profile_trait_route.overloaded_internalizer,overloaded_internalizer.domain_deep_dive,8,10,PASS,
big5_canonical_profile_overloaded_internalizer_facet_details_v0_1,overloaded_internalizer,facet_details,module_05_facet_reframe,canonical_profile_facet_route.overloaded_internalizer,overloaded_internalizer.facet_details,8,12,PASS,
big5_canonical_profile_overloaded_internalizer_core_portrait_v0_1,overloaded_internalizer,core_portrait,module_04_coupling|module_02_quick_understanding,canonical_profile_coupling_route.overloaded_internalizer,overloaded_internalizer.core_portrait,11,10,PASS,
big5_canonical_profile_overloaded_internalizer_norms_comparison_v0_1,overloaded_internalizer,norms_comparison,module_10_method_privacy,canonical_profile_norms_route.overloaded_internalizer,overloaded_internalizer.norms_comparison,8,12,PASS,
big5_canonical_profile_overloaded_internalizer_action_plan_v0_1,overloaded_internalizer,action_plan,module_06_application_matrix|module_07_collaboration_manual,canonical_profile_action_route.overloaded_internalizer,overloaded_internalizer.action_plan,7,11,PASS,
big5_canonical_profile_overloaded_internalizer_methodology_and_access_v0_1,overloaded_internalizer,methodology_and_access,module_00_trust_bar|module_10_method_privacy,canonical_profile_method_route.overloaded_internalizer,overloaded_internalizer.methodology_and_access,6,10,PASS,
