source_id,title,citation,homepage_url,license,notes_json
GLOBAL_IPIPNEO_JOHNSON_ARCHIVE,"IPIP-NEO data (Johnson lineage)","Johnson, J. A. (2014). Measuring thirty facets of the Five Factor Model with a 120-item public domain inventory.","https://ipip.ori.org/newNEOKey.htm","public_reference","{}"
ZH_CN_IPIPNEO120_XU,"Mandarin Chinese IPIP-NEO-120 translation/validation norms","Xu et al. Chinese adaptation and validation materials for IPIP-NEO-120.","https://ipip.ori.org/newItemTranslations.htm","peer_reviewed_reference","{}"
FERMATMIND_PROD_ROLLING,"FermatMind production rolling norms","FermatMind internal production norms built from quality A/B submissions.","","internal","{}"
